,Code_Postal,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,Ville
62,06250,,,,,4.0,,,2.0,,3.0,15.0,,MOUGINS
63,06260,,,,4.0,,,,,1.0,,5.0,,LA CROIX-SUR-ROUDOULE
64,06270,,,,,,,,3.0,,,9.0,,VILLENEUVE-LOUBET
65,06300,,39.0,4.0,38.0,22.0,54.0,67.0,43.0,36.0,19.0,36.0,3.0,
66,06310,,,,,,11.0,,,,5.0,,,BEAULIEU-SUR-MER
67,06320,,,,,,1.0,,,,1.0,,,CAP-D'AIL
68,06330,,,,,,3.0,,,,1.0,,,ROQUEFORT-LES-PINS
69,06340,,,,20.0,,2.0,6.0,1.0,1.0,,2.0,,LA TRINITE
70,06360,,,,,,2.0,,,,1.0,,,EZE
71,06370,,33.0,5.0,5.0,24.0,2.0,1.0,7.0,,2.0,1.0,2.0,MOUANS-SARTOUX
72,06380,,,,2.0,,,,,,,8.0,,SOSPEL
73,06390,,,,,2.0,,12.0,,,1.0,,,BERRE-LES-ALPES
74,06400,,20.0,44.0,50.0,52.0,54.0,53.0,62.0,90.0,212.0,102.0,32.0,
75,06410,,5.0,,18.0,,1.0,,2.0,,,4.0,,BIOT
76,06420,,,,2.0,,,,,,,,,MARIE
77,06430,,,,4.0,,1.0,,9.0,12.0,3.0,,,LA BRIGUE
78,06440,,,,1.0,,1.0,,,,,,,TOUET-DE-L'ESCARENE
79,06450,,2.0,1.0,1.0,,,,,,,,,LANTOSQUE
80,06460,,,,2.0,,,,,,1.0,,2.0,CAUSSOLS
81,06470,,,,10.0,,,,,,,,,VILLENEUVE-D'ENTRAUNES
82,06480,,,,,,,,,,1.0,5.0,,LA COLLE-SUR-LOUP
83,06500,,1.0,18.0,23.0,21.0,4.0,24.0,43.0,5.0,,52.0,,CASTILLON
84,06510,,,,23.0,,2.0,2.0,9.0,,6.0,19.0,,CARROS
85,06520,,,,,,,,3.0,,,,,
86,06530,,5.0,,,1.0,,3.0,6.0,1.0,4.0,,,SPERACEDES
87,06540,,,,2.0,,1.0,1.0,11.0,15.0,7.0,19.0,,SAORGE
88,06550,,,3.0,,,,,2.0,,1.0,,6.0,LA ROQUETTE-SUR-SIAGNE
89,06560,,,,1.0,1.0,3.0,,91.0,30.0,3.0,3.0,5.0,VALBONNE
90,06570,,2.0,,,,1.0,,,,1.0,,,SAINT-PAUL-DE-VENCE
91,06600,,18.0,36.0,47.0,31.0,26.0,15.0,115.0,77.0,86.0,76.0,15.0,
92,06610,,,,,,,,2.0,,,,,LA GAUDE
93,06620,,,,,,1.0,,,,,,,CIPIERES
94,06640,,,,,,,,3.0,,,,,SAINT-JEANNET
95,06650,,,,,,2.0,,,,1.0,,,LE ROURET
96,06670,,2.0,,4.0,1.0,1.0,,5.0,1.0,,2.0,,LA ROQUETTE-SUR-VAR
97,06700,,,,,5.0,1.0,2.0,5.0,6.0,4.0,64.0,,SAINT-LAURENT-DU-VAR
98,06730,,,,2.0,7.0,4.0,,,10.0,,,,SAINT-ANDRE-DE-LA-ROCHE
99,06750,,,,,,,3.0,,,,,4.0,CAILLE
100,06800,,2.0,,10.0,,8.0,,6.0,13.0,15.0,17.0,,CAGNES-SUR-MER
101,06810,,,,,,,,,,1.0,,,AURIBEAU-SUR-SIAGNE
102,06830,,,,,,,3.0,,,,,,REVEST-LES-ROCHES
103,06850,,,,1.0,,2.0,,10.0,,,,,BRIANCONNET
104,06910,,,,,,,1.0,,,,,,SIGALE
105,07000,,,1.0,,,1.0,,3.0,15.0,32.0,61.0,,AJOUX
106,07100,,1.0,1.0,,,,,,1.0,1.0,38.0,1.0,ROIFFIEUX
107,07110,,,,,,3.0,,,,,2.0,,VINEZAC
108,07120,,,,,,,,4.0,,,,,LABEAUME
109,07130,,,1.0,,,,,,,,,,SAINT-PERAY
110,07140,,,,,,,,4.0,,10.0,,,LES VANS
111,07150,,,,1.0,,,,,6.0,,1.0,,BESSAS
112,07160,,,,,,,,11.0,,,1.0,,SAINT-JEAN-ROURE
113,07170,,,,,,,,,8.0,,,,DARBRES
114,07200,,6.0,,,,,,3.0,4.0,24.0,30.0,,SAINT-JULIEN-DU-SERRE
115,07220,,,,,,,,,11.0,,,,SAINT-MONTAN
116,07230,,,,,,,,,4.0,,,,PLANZOLLES
117,07240,,,,,,,,2.0,,,,,CHALENCON
118,07250,,,,,,,,,1.0,1.0,1.0,,ROMPON
119,07260,,,,,,,,3.0,,,4.0,,DOMPNAC
120,07300,,,,,,,1.0,,,,,,TOURNON-SUR-RHONE
121,07500,,,,,,,,,,4.0,1.0,,GUILHERAND-GRANGES
122,07700,,,,,,,,2.0,11.0,,13.0,,BOURG-SAINT-ANDEOL
123,07800,,,,,,,,1.0,,,3.0,,LA VOULTE-SUR-RHONE
124,08000,,3.0,3.0,7.0,4.0,,5.0,7.0,10.0,67.0,2.0,,PRIX-LES-MEZIERES
125,08110,,2.0,,,,2.0,,,,,,,WILLIERS
126,08160,,,,,,,,1.0,,,,,FLIZE
127,08200,,,,,,,,,,1.0,,,FLEIGNEUX
128,08210,,,,,,,,1.0,,,,,YONCQ
129,08250,,,,,,,2.0,,,,,,AUTRY
130,08300,,,,,1.0,,,,,,,,ECLY
131,08500,,,,,,,,1.0,,2.0,,,LES MAZURES
132,08600,,,1.0,,,2.0,,,,,,,CHARNOIS
133,08700,,,,,,2.0,,,,,,,NOUZONVILLE
134,08859,,,,,,9.0,,,,,,,
135,09000,,,,,3.0,,,8.0,,2.0,4.0,,L'HERM
136,09050,,,,,,,,,,,2.0,,
137,09100,,,9.0,,,,,,,,,,LES PUJOLS
138,09200,,,4.0,,,,,,,,,,ERP
139,09400,,,,,,,1.0,,,,,,ORNOLAC-USSAT-LES-BAINS
140,10000,,1.0,21.0,4.0,9.0,1.0,22.0,5.0,14.0,4.0,3.0,,TROYES
141,10007,,,,,,,2.0,,,,12.0,,
142,10100,,,,,4.0,,2.0,,3.0,,9.0,,ROMILLY-SUR-SEINE
143,10400,,,,2.0,,,,,1.0,,,,MONTPOTHIER
144,11000,,,3.0,15.0,1.0,1.0,,,13.0,,8.0,,CARCASSONNE
145,11100,,2.0,,3.0,,20.0,4.0,3.0,10.0,,9.0,1.0,MONTREDON-DES-CORBIERES
146,11200,,,,,,,,,2.0,,,,CONILHAC-CORBIERES
147,11210,,,,3.0,,,1.0,,,,,,PORT-LA-NOUVELLE
148,11230,,1.0,,,,,,,,,,,PEYREFITTE-DU-RAZES
149,11300,,,,,,,,,,7.0,,,MAGRIE
150,11400,,,2.0,3.0,,,,,,,,,PUGINIER
151,11510,,,,,,,,13.0,,,,,FEUILLA
152,12000,,,4.0,2.0,,1.0,,,,9.0,4.0,,LE MONASTERE
153,12100,,1.0,,,4.0,,,,,,,,MILLAU
154,12160,,,,,,,,1.0,,,,,MOYRAZES
155,12230,,,,,,,,,1.0,,,,SAINT-JEAN-DU-BRUEL
156,12300,,7.0,,,,,,,,,,,FLAGNAC
157,12390,,,,,,,,2.0,,,,,RIGNAC
158,12500,,,,2.0,,,,,5.0,,,,LASSOUTS
159,12520,,,,,,,,,2.0,,,,COMPEYRE
160,13000,,,,,,13.0,,30.0,12.0,13.0,,,MARSEILLE
161,13001,,4.0,19.0,14.0,1.0,1.0,17.0,36.0,55.0,82.0,80.0,,MARSEILLE--1ER-ARRONDISSEMENT
162,13002,9.0,66.0,97.0,108.0,114.0,109.0,234.0,730.0,500.0,441.0,820.0,42.0,MARSEILLE--2E--ARRONDISSEMENT
163,13003,7.0,13.0,,10.0,7.0,3.0,57.0,92.0,37.0,56.0,93.0,,MARSEILLE--3E--ARRONDISSEMENT
164,13004,,,,,,,10.0,,2.0,,21.0,6.0,MARSEILLE--4E--ARRONDISSEMENT
165,13005,,,,,1.0,,,,,,3.0,,MARSEILLE--5E--ARRONDISSEMENT
166,13006,,,6.0,,,,1.0,17.0,20.0,,11.0,,MARSEILLE--6E--ARRONDISSEMENT
167,13007,,,,,,,,3.0,,4.0,6.0,,MARSEILLE--7E--ARRONDISSEMENT
168,13008,,,,,,4.0,3.0,7.0,25.0,8.0,19.0,,MARSEILLE--8E--ARRONDISSEMENT
169,13009,,,,,,,1.0,4.0,6.0,4.0,,1.0,MARSEILLE--9E--ARRONDISSEMENT
170,13010,,,,,,,9.0,15.0,1.0,,,1.0,MARSEILLE-10E--ARRONDISSEMENT
171,13011,,3.0,,12.0,,,,1.0,,,15.0,,MARSEILLE-11E--ARRONDISSEMENT
172,13012,,,,4.0,5.0,,,2.0,,,,,MARSEILLE-12E--ARRONDISSEMENT
173,13013,,11.0,17.0,14.0,14.0,,16.0,,7.0,16.0,57.0,,MARSEILLE-13E--ARRONDISSEMENT
174,13014,,4.0,,1.0,,,1.0,45.0,1.0,30.0,11.0,,MARSEILLE-14E--ARRONDISSEMENT
175,13015,,,6.0,,,,,31.0,32.0,17.0,49.0,,MARSEILLE-15E--ARRONDISSEMENT
176,13016,,,,,5.0,,,,,,,,MARSEILLE-16E--ARRONDISSEMENT
177,13080,,,12.0,14.0,21.0,23.0,7.0,4.0,19.0,11.0,18.0,,
178,13090,,,,,,,,,4.0,,,,
179,13100,,,1.0,,,,,1.0,,,,,SAINT-ANTONIN-SUR-BAYON
180,13110,,,,,,4.0,,,2.0,1.0,,,PORT-DE-BOUC
181,13120,,,,,,,,,2.0,1.0,,,GARDANNE
182,13127,,,,,7.0,,3.0,25.0,5.0,8.0,,,VITROLLES
183,13130,,,,,,,,18.0,,,,,BERRE-L'ETANG
184,13140,,,,,,,,,,,13.0,,MIRAMAS
185,13150,,,,,,,,,4.0,,,,SAINT-PIERRE-DE-MEZOARGUES
186,13160,,,,2.0,,,,12.0,,,,,CHATEAURENARD
187,13200,,12.0,,21.0,,3.0,5.0,,37.0,2.0,9.0,1.0,ARLES
188,13210,,,,,,,,,,1.0,,,SAINT-REMY-DE-PROVENCE
189,13232,,,,,,,,1.0,,,,,
190,13240,,,,,,,1.0,,,,,,SEPTEMES-LES-VALLONS
191,13250,,,,,,,,,,,1.0,,CORNILLON-CONFOUX
192,13270,,,,5.0,,,,19.0,3.0,1.0,,,FOS-SUR-MER
193,13280,,,,,2.0,,,,,,,,
194,13300,,,,3.0,6.0,,,7.0,1.0,2.0,22.0,,SALON-DE-PROVENCE
195,13320,,,,,,,,,2.0,,,,BOUC-BEL-AIR
196,13360,,,,,,,,,,1.0,,,ROQUEVAIRE
197,13390,,,,,,,,,,1.0,1.0,,AURIOL
198,13400,,19.0,10.0,3.0,2.0,,,12.0,15.0,4.0,7.0,,AUBAGNE
199,13430,,,,,,,,1.0,,,,,EYGUIERES
200,13450,,,,7.0,,,,1.0,,1.0,,,GRANS
201,13490,,,,,,,,,,1.0,,,JOUQUES
202,13500,,,,3.0,,13.0,1.0,10.0,18.0,6.0,20.0,1.0,MARTIGUES
203,13530,,,,1.0,,,,13.0,1.0,,5.0,,TRETS
